"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
56,"NCT03583086","Phase I/II Eval Safety & Prelim Activity Nivolumab Comb W/Vorolanib Pts W/Refractory Thoracic Tumors",,"Recruiting","No Results Available","Thymic Carcinoma|Non-small Cell Lung Cancer|Refractory Thoracic Tumors|Small-Cell Lung Cancer","Drug: VEGFR/PDGFR Dual Kinase Inhibitor X-82|Biological: Nivolumab","Phase II recommended combination dose per Common Terminology Criteria for Adverse Events (CTCAE) criteria version 4.03|Phase II best response per Response Evaluation Criteria in Solid Tumors (RECIST)|Phase II best response|Progression-free survival|Overall survival|Objective response rate as related to PD-L1 status measured as < 1%, 1-49%, and > 50%.|Disease control rate","Vanderbilt-Ingram Cancer Center|Bristol-Myers Squibb|Xcovery Holdings, INC","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","177","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","VICC THO 1802|CA209-982","July 10, 2018","July 2023","July 2024","July 11, 2018",,"May 18, 2020","Stanford Cancer Institute, Palo Alto, California, United States|Winship Cancer Institute, Emory University, Atlanta, Georgia, United States|University of Chicago Medical Center, Chicago, Illinois, United States|Baptist Clinical Research Institute, Memphis, Tennessee, United States|Vanderbilt-Ingram Cancer Center, Nashville, Tennessee, United States",,"https://ClinicalTrials.gov/show/NCT03583086"
57,"NCT02404441","Phase I/II Study of PDR001 in Patients With Advanced Malignancies",,"Active, not recruiting","No Results Available","Melanoma|NSCLC|Triple Negative Breast Cancer|Anaplastic Thyroid Cancer|Other Solid Tumors","Biological: PDR001","Part l: The exposure (AUC(0-336h)) after first dose of treatment|Part l: Incidence of dose limiting toxicities (DLTs)|Part ll: Overall response Rate (ORR)|Presence and/or concentration of anti-PDR001|Overall Response Rate (ORR) - Phase l only|Progression Free Survival (PFS) - Phase l/ll|Duration of Response (DOR) - Phase l/ll|Disease Control Rate (DCR) - Phase l/ll|Overall Response Rate (ORR) per immune related Response Criteria - Phase ll only|Serum pharmacokinetic (PK) parameter AUCs|Serum Pharmacokinetic (PK) parameter Cmax|Serum Pharmacokinetic (PK) parameter Tmax","Novartis Pharmaceuticals|Novartis","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","319","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CPDR001X2101|2014-003929-17","April 27, 2015","July 1, 2020","July 3, 2020","March 31, 2015",,"April 21, 2020","The Sidney Kimmel Cancer Center at Johns Hopkins Hospital Johns Hopkins, Baltimore, Maryland, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Novartis Investigative Site, Portland, Oregon, United States|Novartis Investigative Site, Nashville, Tennessee, United States|Novartis Investigative Site, Houston, Texas, United States|Huntsman Cancer Institute Univ. of Utah HCI, Salt Lake City, Utah, United States|Novartis Investigative Site, Toronto, Ontario, Canada|Novartis Investigative Site, Paris, France|Novartis Investigative Site, Toulouse Cedex 9, France|Novartis Investigative Site, Villejuif Cedex, France|Novartis Investigative Site, Essen, Germany|Novartis Investigative Site, Jena, Germany|Novartis Investigative Site, Ulm, Germany|Novartis Investigative Site, Budapest, Hungary|Novartis Investigative Site, Debrecen, Hungary|Novartis Investigative Site, Milano, MI, Italy|Novartis Investigative Site, Rozzano, MI, Italy|Novartis Investigative Site, Modena, MO, Italy|Novartis Investigative Site, Bologna, Italy|Novartis Investigative Site, Napoli, Italy|Novartis Investigative Site, Ashrafieh, Lebanon|Novartis Investigative Site, Amsterdam, Netherlands|Novartis Investigative Site, Leiden, Netherlands|Novartis Investigative Site, Oslo, Norway|Novartis Investigative Site, Gdansk, Poland|Novartis Investigative Site, Konin, Poland|Novartis Investigative Site, Poznan, Poland|Novartis Investigative Site, Rzeszow, Poland|Novartis Investigative Site, Warszawa, Poland|Novartis Investigative Site, Barcelona, Catalunya, Spain|Novartis Investigative Site, Madrid, Spain|Novartis Investigative Site, Madrid, Spain|Novartis Investigative Site, Madrid, Spain|Novartis Investigative Site, Madrid, Spain|Novartis Investigative Site, Tainan, Taiwan ROC, Taiwan|Novartis Investigative Site, Taipei, Taiwan|Novartis Investigative Site, Songkhla, Hat Yai, Thailand|Novartis Investigative Site, Bangkok, Thailand|Novartis Investigative Site, Adana, Turkey|Novartis Investigative Site, Edirne, Turkey|Novartis Investigative Site, Istanbul, Turkey|Novartis Investigative Site, Istanbul, Turkey|Novartis Investigative Site, Izmir, Turkey",,"https://ClinicalTrials.gov/show/NCT02404441"
58,"NCT04246671","Phase 1/2 Trial of Intravenous TAEK-VAC-HerBy Vaccine Alone and in Combination Treatment in HER2 Cancer Patients",,"Not yet recruiting","No Results Available","Breast Cancer|Gastric Cancer|Cancer","Biological: TAEK-VAC-HerBy","Patients with Dose Limiting Toxicity (DLT)","Bavarian Nordic","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","45","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TAEK-VAC-HerBy-001 Phase 1","June 30, 2020","December 2022","December 2024","January 29, 2020",,"January 29, 2020",,,"https://ClinicalTrials.gov/show/NCT04246671"
59,"NCT02502708","Study of the IDO Pathway Inhibitor, Indoximod, and Temozolomide for Pediatric Patients With Progressive Primary Malignant Brain Tumors",,"Completed","No Results Available","Glioblastoma Multiforme|Glioma|Gliosarcoma|Malignant Brain Tumor|Ependymoma|Medulloblastoma|Diffuse Intrinsic Pontine Glioma|Primary CNS Tumor","Drug: Indoximod|Drug: Temozolomide|Radiation: Conformal Radiation|Drug: Cyclophosphamide|Drug: Etoposide","Incidence of regimen limiting toxicities (RLTs)|Objective Response Rate|Safety and tolerability assessed by development of AEs and laboratory parameters of indoximod in combination with cyclophosphamide and etoposide.|Pharmacokinetics: Serum concentrations (Cmax/Steady State)|Safety and Tolerability of Indoximod combined with Temozolomide as assessed by incidence and severity of adverse events, dose interruptions and dose reductions.|Progression Free Survival (PFS)|Time to Progression|Overall Survival|Safety and Feasibility of Indoximod combined with conformal radiation as assessed by incidence and severity of adverse events, dose interruptions and dose reductions.","NewLink Genetics Corporation|Lumos Pharma","All","3 Years to 21 Years   (Child, Adult)","Phase 1","81","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NLG2105","October 2015","December 12, 2019","February 28, 2020","July 20, 2015",,"June 4, 2020","Children's Hospital Colorado, Aurora, Colorado, United States|Arnold Palmer Hospital for Children, Orlando, Florida, United States|Children's Heathcare of Atlanta, Atlanta, Georgia, United States|Augusta University, Augusta, Georgia, United States|Children's Hospitals and Clinics of Minnesota, Minneapolis, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT02502708"
60,"NCT03168139","Olaptesed (NOX-A12) Alone and in Combination With Pembrolizumab in Colorectal and Pancreatic Cancer","Keynote-559","Completed","No Results Available","Metastatic Colorectal Cancer|Metastatic Pancreatic Cancer","Drug: Olaptesed pegol - Monotherapy|Drug: Olaptesed pegol + Pembrolizumab - Combination Therapy","Monotherapy: Pharmacodynamics|Combination Therapy: Safety - adverse events, vital signs, ECG, hematology & safety laboratory|Monotherapy: Safety|Combination Therapy: Disease control rate (DCR)|Combination Therapy: Efficacy - time to event analyses","NOXXON Pharma AG|Merck Sharp & Dohme Corp.","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","20","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SNOXA12C601|2016-003657-15","April 18, 2017","March 25, 2020","March 25, 2020","May 30, 2017",,"April 30, 2020","Nationales Centrum für Tumorerkrankungen (NCT) Heidelberg, Heidelberg, Germany",,"https://ClinicalTrials.gov/show/NCT03168139"
61,"NCT03539822","Cabozantinib in Combination With Durvalumab in Patients With Gastroesophageal Cancer and Other Gastrointestinal Malignancies (CAMILLA)",,"Recruiting","No Results Available","Gastric Cancer|Esophageal Adenocarcinoma|Hepatocellular Carcinoma|Colorectal Cancer","Drug: Cabozantinib|Drug: Durvalumab","Maximum Tolerated Dose (MTD)|Proportion of participants with adverse events (AEs).|Overall Response Rate (ORR)|Overall Benefit Rate (OBR)|Progression Free Survival (PFS)|Overall Survival (OS)","Anwaar Saeed|AstraZeneca|Exelixis|University of Kansas Medical Center","All","18 Years and older   (Adult, Older Adult)","Phase 1","30","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IIT-2017-Cabozant+DurvaGI","September 14, 2018","June 30, 2020","December 30, 2020","May 29, 2018",,"September 30, 2019","The University of Kansas Cancer Center, Fairway, Kansas, United States",,"https://ClinicalTrials.gov/show/NCT03539822"
62,"NCT03277638","Laser Interstitial Thermotherapy (LITT) Combined With Checkpoint Inhibitor for Recurrent GBM (RGBM)",,"Recruiting","No Results Available","Glioblastoma, Adult","Drug: Pembrolizumab at 7 days prior|Drug: Pembrolizumab at 14 days post|Drug: Pembrolizumab at 35 days post|Procedure: Laser Interstitial Thermotherapy","Phase I Objective: Optimal timing of LITT with pembrolizumab|Phase II Objective: Tumor Response|Progression free survival|overall survival|The proportion of patients who achieve progression free survival at 6 months (PFS6)|The proportion of patients who achieve progression free survival at 12 months (PFS12)|The proportion of patients who achieve progression free survival at 24 months (PFS24)","Case Comprehensive Cancer Center","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","34","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CASE3316","November 29, 2017","May 2020","July 2020","September 11, 2017",,"January 3, 2020","University Hospitals, Seidman Cancer Center, Case Comprehensive Cancer Center, Cleveland, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT03277638"
63,"NCT03233724","Oral Decitabine and Tetrahydrouridine as Epigenetic Priming for, Pembrolizumab-Mediated Immune Checkpoint Blockade in Patients With Inoperable, or Unresectable Locally Advanced or Metastatic Non-Small Cell Lung Cancers and Esophageal Carcinomas",,"Recruiting","No Results Available","Carcinoma, Non-Small-Cell Lung|Lung Cancer|Non-Small Cell Lung Cancer|Carcinoma, Esophageal","Drug: Decitabine (DAC)|Drug: Tetrahydrouridine (THU)|Drug: Pembrolizumab","Maximum tolerated dose|Overall response rate|Examine if oral DAC-THU modulates DNA methylation, as well as gene, micro-RNA, and endogenous retroviral expression profiles of lungcancer and EsC cells and alters the tumor micro-environment|Examine if oral DAC-THU modulates plasma tumor DNA methylation, circulating tumor cells and peripheral immune subsets","National Cancer Institute (NCI)|National Institutes of Health Clinical Center (CC)","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","75","NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","170140|17-C-0140","April 11, 2018","December 31, 2025","December 31, 2025","July 31, 2017",,"May 13, 2020","National Institutes of Health Clinical Center, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT03233724"
64,"NCT04393506","Inductive Camrelizumab and Apatinib for Patients With Locally Advanced and Resectable Oral Squamous Cell Carcinoma",,"Recruiting","No Results Available","Oral Cancer|VEGFR2 Inhibitor|Programmed Cell Death 1 Inhibitor|Inductive Therapy","Drug: Camrelizumab|Drug: Apatinib|Procedure: Radical surgery|Radiation: Post-operative radiotherapy/chemoradiotherapy","Major pathologic response|2-year overall survival|2-year tumor recurrence rate","Shanghai Jiao Tong University School of Medicine","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1","20","Other","Interventional","Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Icemelting trial","April 23, 2020","December 31, 2020","December 31, 2023","May 19, 2020",,"May 19, 2020","Shanghai Ninth People's Hospital, Shanghai, Shanghai, China","""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/06/NCT04393506/ICF_000.pdf","https://ClinicalTrials.gov/show/NCT04393506"
65,"NCT03366844","Breast Cancer Study of Preoperative Pembrolizumab + Radiation",,"Recruiting","No Results Available","Breast Cancer","Drug: Pembrolizumab|Radiation: RT Boost","Number of patients who do not necessitate a delay in standard of care treatment after receiving the investigational combination of preoperative Pembrolizumab and radiation|Changes in Tumor Infiltrating Lymphocytes (TIL)|Pembrolizumab-related adverse events|Immune-related adverse events|Invasive disease-free survival after preoperative radiation and Pembrolizumab|Pathological complete response rate","Stephen Shiao|United States Department of Defense|Cedars-Sinai Medical Center","Female","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","60","Other|U.S. Fed","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IIT2017-07-HO-PembroRT","December 22, 2017","January 1, 2021","January 1, 2021","December 8, 2017",,"March 6, 2020","Cedars-Sinai Medical Center, Los Angeles, California, United States","""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/44/NCT03366844/ICF_000.pdf","https://ClinicalTrials.gov/show/NCT03366844"
66,"NCT04407741","Phase Ⅰ/Ⅱ Study of SHR2554 in Combination With SHR1701 in Patients With Advanced Solid Tumors and B-cell Lymphomas",,"Not yet recruiting","No Results Available","Solid Tumor|Lymphoma","Drug: SHR2554+SHR1701|Drug: SHR1701","Median amount of time subject survives without disease progression following the initiation of treatment|Number of subjects with treatment related adverse events as assessed by CTCAE v5.0.|The percentage of subjects respond to treatment.|Median amount of times subjects alive after treatment","Chinese PLA General Hospital","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1|Phase 2","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CHN-PLAGH-BT-055","June 1, 2020","June 1, 2022","June 1, 2023","May 29, 2020",,"May 29, 2020","Department of Biotherapeutic, Chinese PLA General Hospital, Beijing, China",,"https://ClinicalTrials.gov/show/NCT04407741"
